token,label_gt,prediction
contentezza,0,1
",",0,1
borbottò,0,1
a,0,1
mezza,0,1
voce,0,1
:,0,1
–,0,1
Questo,0,1
legno,0,1
è,0,1
capitato,0,1
a,0,1
tempo,0,1
:,0,1
voglio,0,1
servirmene,0,1
per,0,1
fare,0,1
una,0,1
gamba,0,1
di,0,1
tavolino,0,1
.,1,1
Detto,0,1
fatto,0,1
",",0,1
prese,0,1
subito,0,1
l',0,1
ascia,0,1
arrotata,0,1
per,0,1
cominciare,0,1
a,0,1
levargli,0,1
la,0,1
scorza,0,1
e,0,1
a,0,1
digrossarlo,0,1
",",0,1
ma,0,1
quando,0,1
fu,0,1
lì,0,1
per,0,1
lasciare,0,1
andare,0,1
la,0,1
prima,0,1
asciata,0,1
",",0,1
rimase,0,1
col,0,1
braccio,0,1
sospeso,0,1
in,0,1
aria,0,1
",",0,1
perchè,0,1
sentì,0,1
una,0,1
vocina,0,1
sottile,0,1
sottile,0,1
",",0,1
che,0,1
disse,0,1
raccomandandosi,0,1
:,0,1
–,0,1
Non,0,1
mi,0,1
picchiar,0,1
tanto,0,1
forte,0,1
!,1,1
Figuratevi,0,1
come,0,1
rimase,0,1
quel,0,1
buon,0,1
vecchio,0,1
di,0,1
maestro,0,1
Ciliegia,0,1
!,1,1
Girò,0,1
gli,0,1
occhi,0,1
smarriti,0,1
intorno,0,1
alla,0,1
stanza,0,1
per,0,1
vedere,0,1
di,0,1
dove,0,1
mai,0,1
poteva,0,1
essere,0,1
uscita,0,1
quella,0,1
vocina,0,1
",",0,1
e,0,1
non,0,1
vide,0,1
nessuno,0,1
!,1,1
Guardò,0,1
sotto,0,1
il,0,1
banco,0,1
",",0,1
e,0,1
nessuno,0,1
;,0,1
guardò,0,1
dentro,0,1
un,0,1
armadio,0,1
che,0,1
stava,0,1
sempre,0,1
chiuso,0,1
",",0,1
e,0,0
nessuno,0,0
;,1,0
guardò,0,0
nel,0,0
corbello,0,0
dei,0,0
trucioli,0,0
e,0,0
della,0,0
segatura,0,0
",",0,0
e,0,0
nessuno,0,0
;,1,0
aprì,0,0
l',0,0
uscio,0,0
di,0,0
bottega,0,1
per,0,1
dare,0,1
un'occhiata,0,1
anche,0,0
sulla,0,1
strada,0,1
",",0,1
e,0,0
nessuno,0,1
.,1,1
O,0,1
dunque,0,1
?,0,1
…,1,1
–,0,1
Ho,0,1
capito,0,1
;,0,1
–,0,1
disse,0,1
allora,0,1
ridendo,0,1
e,0,1
grattandosi,0,1
la,0,1
parrucca,0,1
–,0,1
si,0,1
vede,0,1
che,0,1
quella,0,1
vocina,0,1
me,0,1
la,0,1
sono,0,1
figurata,0,1
io,0,1
.,1,1
Rimettiamoci,0,1
a,0,1
lavorare,0,1
.,1,1
E,0,1
ripresa,0,1
l',0,1
ascia,0,1
in,0,1
mano,0,1
",",0,1
tirò,0,1
giù,0,1
un,0,1
solennissimo,0,1
colpo,0,1
sul,0,1
pezzo,0,1
di,0,1
legno,0,1
.,1,1
–,0,1
Ohi,0,1
!,0,1
tu,0,1
m'hai,0,1
fatto,0,1
male,0,1
!,0,1
–,0,1
gridò,0,1
rammaricandosi,0,1
la,0,1
solita,0,1
vocina,0,1
.,1,1
Questa,0,1
volta,0,1
maestro,0,1
Ciliegia,0,1
restò,0,1
di,0,1
stucco,0,1
",",0,1
cogli,0,1
occhi,0,1
fuori,0,1
del,0,1
capo,0,1
per,0,1
la,0,1
paura,0,1
",",0,1
colla,0,1
bocca,0,1
spalancata,0,1
e,0,1
colla,0,1
lingua,0,1
giù,0,1
ciondoloni,0,1
fino,0,1
al,0,1
mento,0,1
",",0,1
come,0,1
un,0,1
mascherone,0,1
da,0,1
fontana,0,1
.,1,1
Appena,0,1
riebbe,0,1
l',0,1
uso,0,1
della,0,1
parola,0,1
",",0,1
cominciò,0,1
a,0,1
dire,0,1
tremando,0,1
e,0,1
balbettando,0,1
dallo,0,1
spavento,0,1
:,1,1
–,0,1
Ma,0,1
di,0,1
dove,0,1
sarà,0,1
uscita,0,1
questa,0,1
vocina,0,0
che,0,0
ha,0,0
detto,0,0
ohi,0,0
?,0,0
…,0,0
Eppure,0,0
qui,0,0
non,0,0
c',0,0
è,0,0
anima,0,0
viva,0,0
.,1,0
Che,0,0
sia,0,0
per,0,1
caso,0,1
questo,0,1
pezzo,0,1
di,0,1
legno,0,0
che,0,1
abbia,0,1
imparato,0,1
a,0,1
piangere,0,1
e,0,1
a,0,1
lamentarsi,0,1
come,0,1
un,0,1
bambino,0,1
?,1,1
Io,0,1
non,0,1
lo,0,1
posso,0,1
credere,0,1
.,1,1
Questo,0,1
legno,0,1
eccolo,0,1
qui,0,1
;,1,1
è,0,1
un,0,1
pezzo,0,1
di,0,1
legno,0,1
da,0,1
caminetto,0,1
",",0,1
come,0,1
tutti,0,1
gli,0,1
altri,0,1
",",0,1
e,0,1
a,0,1
buttarlo,0,1
sul,0,1
fuoco,0,1
",",0,1
c',0,1
è,0,1
da,0,1
far,0,1
bollire,0,1
una,0,1
pentola,0,1
di,0,1
fagioli,0,1
…,0,1
O,0,1
dunque,0,1
?,1,1
Che,0,1
ci,0,1
sia,0,1
nascosto,0,1
dentro,0,1
qualcuno,0,1
?,1,1
Se,0,1
c',0,1
è,0,1
nascosto,0,1
qualcuno,0,1
",",0,1
tanto,0,1
peggio,0,1
per,0,1
lui,0,1
.,1,1
Ora,0,1
l',0,1
accomodo,0,1
io,0,1
!,1,1
E,0,1
così,0,1
dicendo,0,1
",",0,1
agguantò,0,1
con,0,1
tutte,0,1
e,0,1
due,0,1
le,0,1
mani,0,1
quel,0,1
povero,0,1
pezzo,0,1
di,0,1
legno,0,1
",",0,1
e,0,1
si,0,1
pose,0,1
a,0,1
sbatacchiarlo,0,1
senza,0,1
carità,0,1
contro,0,1
le,0,1
pareti,0,1
della,0,1
stanza,0,1
.,1,1
Poi,0,1
si,0,1
messe,0,1
in,0,1
ascolto,0,1
",",0,1
per,0,1
sentire,0,1
se,0,1
c',0,1
era,0,1
qualche,0,1
vocina,0,1
che,0,1
si,0,1
lamentasse,0,1
.,1,1
Aspettò,0,1
due,0,0
minuti,0,0
",",0,0
e,0,0
nulla,0,0
;,1,0
cinque,0,0
minuti,0,0
",",0,0
e,0,0
nulla,0,0
;,1,0
dieci,0,0
minuti,0,0
",",0,0
e,0,0
nulla,0,0
!,1,0
–,0,1
Ho,0,1
capito,0,0
–,0,0
disse,0,1
allora,0,0
sforzandosi,0,1
di,0,0
ridere,0,0
e,0,0
arruffandosi,0,1
la,0,1
parrucca,0,0
–,0,1
si,0,1
vede,0,1
che,0,1
quella,0,1
vocina,0,1
che,0,1
ha,0,1
detto,0,1
ohi,0,1
",",0,1
me,0,1
la,0,1
sono,0,1
figurata,0,1
io,0,1
!,1,1
Rimettiamoci,0,1
a,0,1
lavorare,0,1
.,1,1
E,0,1
perchè,0,1
gli,0,1
era,0,1
entrata,0,1
addosso,0,1
una,0,1
gran,0,1
paura,0,1
",",0,1
si,0,1
provò,0,1
a,0,1
canterellare,0,1
per,0,1
farsi,0,1
un,0,1
po',0,1
di,0,1
coraggio,0,1
.,1,1
Intanto,0,1
",",0,1
posata,0,1
da,0,1
una,0,1
parte,0,1
l',0,1
ascia,0,1
",",0,1
prese,0,1
in,0,1
mano,0,1
la,0,1
pialla,0,1
",",0,1
per,0,1
piallare,0,1
e,0,1
tirare,0,1
a,0,1
pulimento,0,1
il,0,1
pezzo,0,1
di,0,1
legno,0,1
;,1,1
ma,0,1
nel,0,1
mentre,0,1
che,0,1
lo,0,1
piallava,0,1
in,0,1
su,0,1
e,0,1
in,0,1
giù,0,1
",",0,1
sentì,0,1
la,0,1
solita,0,1
vocina,0,1
che,0,1
gli,0,1
disse,0,1
ridendo,0,1
:,1,1
–,0,1
Smetti,0,1
!,0,1
tu,0,1
mi,0,1
fai,0,1
il,0,1
pizzicorino,0,1
sul,0,1
corpo,0,1
!,1,1
Questa,0,1
volta,0,1
il,0,1
povero,0,1
maestro,0,1
Ciliegia,0,1
cadde,0,1
giù,0,1
come,0,1
fulminato,0,1
.,1,1
Quando,0,1
riaprì,0,1
gli,0,1
occhi,0,1
",",0,1
si,0,1
trovò,0,1
seduto,0,1
per,0,1
terra,0,1
.,1,1
Il,0,1
suo,0,1
viso,0,1
pareva,0,0
trasfigurito,0,0
",",0,0
e,0,0
perfino,0,0
la,0,0
punta,0,0
del,0,0
naso,0,0
",",0,0
di,0,0
paonazza,0,0
come,0,1
era,0,1
quasi,0,1
sempre,0,1
",",0,0
gli,0,1
era,0,1
diventata,0,1
turchina,0,1
dalla,0,0
gran,0,1
paura,0,1
.,1,1
In,0,1
quel,0,1
punto,0,1
fu,0,1
bussato,0,1
alla,0,1
porta,0,1
.,1,1
–,0,1
Passate,0,1
pure,0,1
–,0,1
disse,0,1
il,0,1
falegname,0,1
",",0,1
senza,0,1
aver,0,1
la,0,1
forza,0,1
di,0,1
rizzarsi,0,1
in,0,1
piedi,0,1
.,1,1
Allora,0,1
entrò,0,1
in,0,1
bottega,0,1
un,0,1
vecchietto,0,1
tutto,0,1
arzillo,0,1
",",0,1
il,0,1
quale,0,1
aveva,0,1
nome,0,1
Geppetto,0,1
;,0,1
ma,0,1
i,0,1
ragazzi,0,1
del,0,1
vicinato,0,1
",",0,1
quando,0,1
lo,0,1
volevano,0,1
far,0,1
montare,0,1
su,0,1
tutte,0,1
le,0,1
furie,0,1
",",0,1
lo,0,1
chiamavano,0,1
col,0,1
soprannome,0,1
di,0,1
Polendina,0,1
",",0,1
a,0,1
motivo,0,1
della,0,1
sua,0,1
parrucca,0,1
gialla,0,1
che,0,1
somigliava,0,1
moltissimo,0,1
alla,0,1
polendina,0,1
di,0,1
granturco,0,1
.,1,1
Geppetto,0,1
era,0,1
bizzosissimo,0,1
.,1,1
Guai,0,1
a,0,1
chiamarlo,0,1
Polendina,0,1
!,1,1
Diventava,0,1
subito,0,1
una,0,1
bestia,0,1
",",0,1
e,0,1
non,0,1
c',0,1
era,0,1
più,0,1
verso,0,1
di,0,1
tenerlo,0,1
.,1,1
–,0,1
Buon,0,1
giorno,0,1
",",0,1
mastr'Antonio,0,1
–,0,1
disse,0,1
Geppetto,0,1
.,1,1
–,0,1
Che,0,1
cosa,0,1
fate,0,1
costì,0,1
per,0,1
terra,0,1
?,0,1
–,0,1
Insegno,0,1
l',0,1
abbaco,0,0
alle,0,0
formicole,0,0
.,1,0
–,0,0
Buon,0,0
pro,0,0
vi,0,0
faccia,0,0
.,1,0
–,0,0
Chi,0,0
vi,0,0
ha,0,0
portato,0,0
da,0,0
me,0,0
",",0,1
compar,0,1
Geppetto,0,1
?,1,1
–,0,1
Le,0,1
gambe,0,1
.,0,1
Sappiate,0,1
",",0,1
mastr'Antonio,0,1
",",0,1
che,0,1
son,0,1
venuto,0,1
da,0,1
voi,0,1
",",0,1
per,0,1
chiedervi,0,1
un,0,1
favore,0,1
.,1,1
–,0,1
Eccomi,0,1
qui,0,1
",",0,1
pronto,0,1
a,0,1
servirvi,0,1
",",0,1
–,0,1
replicò,0,1
il,0,1
falegname,0,1
",",0,1
rizzandosi,0,1
su,0,1
i,0,1
ginocchi,0,1
.,1,1
–,0,1
Stamani,0,1
m'è,0,1
piovuta,0,1
nel,0,1
cervello,0,1
un'idea,0,1
.,1,1
–,0,1
Sentiamola,0,1
.,1,1
–,0,1
Ho,0,1
pensato,0,1
di,0,1
fabbricarmi,0,1
da,0,1
me,0,1
un,0,1
bel,0,1
burattino,0,1
di,0,1
legno,0,1
;,0,1
ma,0,1
un,0,1
burattino,0,1
maraviglioso,0,1
",",0,1
che,0,1
sappia,0,1
ballare,0,1
",",0,1
tirare,0,1
di,0,1
scherma,0,1
e,0,1
fare,0,1
i,0,1
salti,0,1
mortali,0,1
.,0,1
Con,0,1
questo,0,1
burattino,0,1
voglio,0,1
girare,0,1
il,0,1
mondo,0,1
",",0,1
per,0,1
buscarmi,0,1
un,0,1
tozzo,0,1
di,0,1
pane,0,1
e,0,1
un,0,1
bicchier,0,1
di,0,1
vino,0,1
:,0,1
che,0,1
ve,0,1
ne,0,1
pare,0,1
?,1,1
–,0,1
Bravo,0,1
Polendina,0,1
!,0,1
–,0,1
gridò,0,1
la,0,1
solita,0,1
vocina,0,1
",",0,1
che,0,1
non,0,1
si,0,1
capiva,0,1
di,0,1
dove,0,1
uscisse,0,1
.,1,1
A,0,1
sentirsi,0,1
chiamar,0,1
Polendina,0,1
",",0,1
compar,0,0
Geppetto,0,0
diventò,0,0
rosso,0,0
come,0,0
un,0,0
peperone,0,0
dalla,0,0
bizza,0,0
",",0,0
e,0,0
voltandosi,0,0
verso,0,0
il,0,0
falegname,0,0
",",0,0
gli,0,0
disse,0,0
imbestialito,0,0
:,0,1
–,0,1
Perchè,0,1
mi,0,1
offendete,0,1
?,1,1
–,0,1
Chi,0,1
vi,0,1
offende,0,1
?,1,1
–,0,1
Mi,0,1
avete,0,1
detto,0,1
Polendina,0,1
!,0,1
…,1,1
–,0,1
Non,0,1
sono,0,1
stato,0,1
io,0,1
.,1,1
–,0,1
Sta,0,1
un,0,1
po'a,0,1
vedere,0,1
che,0,1
sarò,0,1
stato,0,1
io,0,1
!,0,1
Io,0,1
dico,0,1
che,0,1
siete,0,1
stato,0,1
voi,0,1
.,1,1
–,0,1
No,0,1
!,1,1
–,0,1
Sì,0,1
!,1,1
–,0,1
No,0,1
.,1,1
–,0,1
Sì,0,1
.,1,1
E,0,1
riscaldandosi,0,1
sempre,0,1
più,0,1
",",0,1
vennero,0,1
dalle,0,1
parole,0,1
ai,0,1
fatti,0,1
",",0,1
e,0,1
acciuffatisi,0,1
fra,0,1
di,0,1
loro,0,1
",",0,1
si,0,1
graffiarono,0,1
",",0,1
si,0,1
morsero,0,1
e,0,1
si,0,1
sbertucciarono,0,1
.,1,1
Finito,0,1
il,0,1
combattimento,0,1
",",0,1
mastr'Antonio,0,1
si,0,1
trovò,0,1
fra,0,1
le,0,1
mani,0,1
la,0,1
parrucca,0,1
gialla,0,1
di,0,1
Geppetto,0,1
",",0,1
e,0,1
Geppetto,0,1
si,0,1
accorse,0,1
di,0,1
avere,0,1
in,0,1
bocca,0,1
la,0,1
parrucca,0,1
brizzolata,0,1
del,0,1
falegname,0,1
.,1,1
–,0,1
Rendimi,0,1
la,0,1
mia,0,1
parrucca,0,1
!,0,1
–,0,1
gridò,0,1
mastr'Antonio,0,1
.,1,1
–,0,1
E,0,1
tu,0,1
rendimi,0,1
la,0,1
mia,0,1
",",0,1
e,0,1
rifacciamo,0,1
la,0,1
pace,0,1
.,1,1
I,0,0
due,0,0
vecchietti,0,0
",",0,0
dopo,0,0
aver,0,0
ripreso,0,0
ognuno,0,0
di,0,0
loro,0,0
la,0,0
propria,0,0
parrucca,0,0
",",0,0
si,0,0
strinsero,0,0
la,0,0
mano,0,0
e,0,0
giurarono,0,1
di,0,0
rimanere,0,0
buoni,0,0
amici,0,0
per,0,0
tutta,0,0
la,0,0
vita,0,0
.,1,0
–,0,1
Dunque,0,1
",",0,1
compar,0,0
Geppetto,0,1
",",0,1
–,0,1
disse,0,1
il,0,1
falegname,0,1
in,0,1
segno,0,1
di,0,1
pace,0,1
fatta,1,1
–,0,1
qual'è,0,1
il,0,1
piacere,0,1
che,0,1
volete,0,1
da,0,1
me,0,1
?,1,1
–,0,1
Vorrei,0,1
un,0,1
po',0,1
di,0,1
legno,0,1
per,0,1
fabbricare,0,1
il,0,1
mio,0,1
burattino,0,1
;,0,1
me,0,1
lo,0,1
date,0,1
?,1,1
Mastr'Antonio,0,1
",",0,1
tutto,0,1
contento,0,1
",",0,1
andò,0,1
subito,0,1
a,0,1
prendere,0,1
sul,0,1
banco,0,1
quel,0,1
pezzo,0,1
di,0,1
legno,0,1
che,0,1
era,0,1
stato,0,1
cagione,0,1
a,0,1
lui,0,1
di,0,1
tante,0,1
paure,0,1
.,1,1
Ma,0,1
quando,0,1
fu,0,1
lì,0,1
per,0,1
consegnarlo,0,1
all'amico,0,1
",",0,1
il,0,1
pezzo,0,1
di,0,1
legno,0,1
dette,0,1
uno,0,1
scossone,0,1
e,0,1
sgusciandogli,0,1
violentemente,0,1
dalle,0,1
mani,0,1
",",0,1
andò,0,1
a,0,1
battere,0,1
con,0,1
forza,0,1
negli,0,1
stinchi,0,1
impresciuttiti,0,1
del,0,1
povero,0,1
Geppetto,0,1
.,1,1
–,0,1
Ah,0,1
!,0,1
gli,0,1
è,0,1
con,0,1
questo,0,1
bel,0,1
garbo,0,1
",",0,1
mastr'Antonio,0,1
",",0,1
che,0,1
voi,0,1
regalate,0,1
la,0,1
vostra,0,1
roba,0,1
?,0,1
M'avete,0,1
quasi,0,1
azzoppito,0,1
!,0,1
…,1,1
–,0,1
Vi,0,1
giuro,0,1
che,0,1
non,0,1
sono,0,1
stato,0,1
io,0,1
!,1,1
–,0,0
Allora,0,0
sarò,0,0
stato,0,0
io,0,0
!,0,0
…,1,0
–,0,0
La,0,0
colpa,0,1
è,0,1
tutta,0,1
di,0,1
questo,0,1
legno,0,1
…,1,1
–,0,1
Lo,0,1
so,0,1
che,0,1
è,0,1
del,0,1
legno,0,1
:,0,1
ma,0,1
siete,0,1
voi,0,1
che,0,1
me,0,1
l',0,1
avete,0,1
tirato,0,1
nelle,0,1
gambe,0,1
!,1,1
–,0,1
Io,0,1
non,0,1
ve,0,1
l',0,1
ho,0,1
tirato,0,1
!,1,1
–,0,1
Bugiardo,0,1
!,1,1
–,0,1
Geppetto,0,1
",",0,1
non,0,1
mi,0,1
offendete,0,1
;,1,1
se,0,1
no,0,1
vi,0,1
chiamo,0,1
Polendina,0,1
!,0,1
…,1,1
–,0,1
Asino,0,1
!,1,1
–,0,1
Polendina,0,1
!,1,1
–,0,1
Somaro,0,1
!,1,1
–,0,1
Polendina,0,1
!,1,1
–,0,1
Brutto,0,1
scimmiotto,0,1
!,1,1
–,0,1
Polendina,0,1
!,1,1
A,0,1
sentirsi,0,1
chiamar,0,1
Polendina,0,1
per,0,1
la,0,1
terza,0,1
volta,0,1
",",0,1
Geppetto,0,1
perse,0,1
il,0,1
lume,0,1
degli,0,1
occhi,0,1
",",0,1
e,0,1
si,0,1
avventò,0,1
sul,0,1
falegname,0,1
;,1,1
e,0,1
lì,0,1
se,0,1
ne,0,1
dettero,0,1
un,0,1
sacco,0,1
e,0,1
una,0,1
sporta,0,1
.,1,1
A,0,1
battaglia,0,1
finita,0,1
",",0,1
mastr'Antonio,0,1
si,0,1
trovò,0,1
due,0,1
graffi,0,1
di,0,1
più,0,1
sul,0,1
naso,0,1
",",0,1
e,0,1
quell'altro,0,1
due,0,1
bottoni,0,1
di,0,1
meno,0,1
al,0,1
giubbetto,0,1
.,1,1
Pareggiati,0,1
in,0,1
questo,0,1
modo,0,1
i,0,1
loro,0,0
conti,0,0
",",0,0
si,0,0
strinsero,0,0
la,0,0
mano,0,0
e,0,0
giurarono,0,0
di,0,0
rimanere,0,0
buoni,0,0
amici,0,0
per,0,0
tutta,0,0
la,0,0
vita,0,0
.,1,0
Intanto,0,0
Geppetto,0,1
prese,0,0
con,0,0
sè,0,0
il,0,0
suo,0,0
bravo,0,0
pezzo,0,0
di,0,0
legno,0,0
",",0,0
e,0,1
ringraziato,0,1
mastr'Antonio,0,1
",",0,1
se,0,1
ne,0,1
tornò,0,1
zoppicando,0,1
a,0,1
casa,0,1
.,1,1
